[Input ID],Gene_desc,unique,Intensity L 1,Intensity H 1,Intensity L 2,Intensity H 2,Intensity L 3,Intensity H 3,Score,logScore,logInt,[SignalP Peptide],[# TM Domains],Gene_id_all,Gene_desc_all,Intensity HL 1,Intensity HL 2,Intensity HL 3,logratio_mean,pvalues,statistics,log_pvalues,padj
Tb927.5.4460,"major vault protein, putative",33,7436700,5840700,6470200,4938900,10843,15659,116.06,2.0646825662285115,7.392450724656032,0,0.0,Tb927.5.4460;Tb05.5K5.110;Tb11.v5.0866,"major vault protein, putative; major vault protein, putative; major vault protein, putative",-0.3485212898005744,-0.3896205498203328,0.5302281122695504,-0.06930457578378561,0.828638914688828,-0.23101445247966784,0.08163467514371572,1.0
Tb927.5.4480,"paraflagellar rod component par4, putative",19,253870,205350,625220,424640,2108100,1657600,93.565,1.971113421927069,6.722197764055116,0,0.0,Tb927.5.4480;Tb05.5K5.130,"paraflagellar rod component par4, putative; paraflagellar rod component par4, putative",-0.3060049734329614,-0.5581236532514989,-0.3468473962584428,-0.4036586743143011,0.006667209781486645,-5.166682712350483,2.176055879731386,1.0
Tb927.5.4500,"ras-like small GTPase, putative",7,265220,449670,207920,549160,711750,1444000,43.107,1.6345477995001125,6.559643336466725,1,0.0,Tb927.5.4500;Tb05.5K5.150,"ras-like small GTPase, putative; small GTP-binding protein, putative",0.761677065085461,1.4011980066218768,1.0206282491449055,1.0611677736174143,0.004641063288500387,5.713705305280503,2.333382509223918,1.0
Tb927.5.4520,Kinetochore interacting protein 1,10,396570,954450,548220,1150700,10843,15659,22.89,1.3596457926745429,6.48428559995001,0,0.0,Tb927.5.4520;Tb05.5K5.160,"Kinetochore interacting protein 1; hypothetical protein, conserved",1.2670940786024543,1.0696848899996443,0.5302281122695504,0.9556690269572163,0.01225698433755864,4.339580227733883,1.9116163688599703,1.0
Tb927.5.4560,"guanine deaminase, putative",18,2723200,4167600,3931400,5781700,2116700,3583700,193.79,2.2873313627205776,7.348382756417916,0,0.0,Tb927.5.4560;Tb11.v5.0409;Tb05.5K5.200,"guanine deaminase, putative; guanine deaminase, putative; guanine deaminase, putative",0.6139138744172854,0.5564505942793935,0.7596330604457074,0.6433325097141288,0.0004419906416693266,10.638866787687958,3.3545869259323506,0.8468540694384297
Tb927.5.4380,"kinetoplastid-specific phospho-protein phosphatase, putative",15,1632000,1808000,1987600,1627900,1429400,1371700,60.089,1.7787949765528352,6.9937227262461965,0,0.0,Tb927.5.4380;Tb05.5K5.30,"kinetoplastid-specific phospho-protein phosphatase, putative; serine/threonine protein phosphatase, putative",0.1477536204436922,-0.2880153677497879,-0.05944470446843825,-0.066568817258178,0.6248189207747049,-0.5289700742923992,0.20424582762046492,1.0
Tb927.5.4420,"nucleolar RNA helicase II, putative",13,783470,793740,847510,877770,1444500,1342900,38.638000000000005,1.5870146381512302,6.784610161302044,0,0.0,Tb927.5.4420;Tb05.5K5.70,"nucleolar RNA helicase II, putative; nucleolar RNA helicase II, putative",0.018788477729085176,0.05061257220548809,-0.10521832644582609,-0.011939092170417604,0.814065201828157,-0.2511600494038442,0.08934080928752593,1.0
Tb927.5.4430,"calcium/calmodulin-dependent protein kinase, putative",3,14589,10843,14845,13488,183940,245450,8.5664,0.9327983495068386,5.632851925998251,0,0.0,Tb927.5.4430;Tb05.5K5.80,"calcium/calmodulin-dependent protein kinase, putative; protein kinase, putative",-0.42811702611268126,-0.13830065193193558,0.416193921176256,-0.05007458562278696,0.8496534388713503,-0.20216519823829351,0.07075818049390055,1.0
Tb927.7.2140,"zinc finger protein family member, putative",8,573850,862820,1413900,1514300,3031500,2588900,38.099000000000004,1.5809135767207267,6.999356768057647,0,0.0,Tb927.7.2140;Tb07.11L3.90,"zinc finger protein family member, putative; zinc finger protein family member, putative",0.588385941544578,0.09897096069754872,-0.22769258230327621,0.15322143997961685,0.5533978092548124,0.6461275828203156,0.25696256444051213,1.0
Tb08.27P2.160,"expression site-associated gene 3 (ESAG3), degenerate",1,14589,10843,466370,318040,314590,286630,3.5988,0.556157711807152,6.141637874673272,1,0.0,Tb08.27P2.160;Tb11.0700;Tb927.3.430;Tb10.v4.0101;Tb927.9.620;Tb10.v4.0147;Tb927.11.20150;Tb927.11.17180;Tb927.11.19470;Tb08.27P2.520;Tb927.1.5340;Tb08.27P2.400;Tb927.11.19900,"expression site-associated gene 3 (ESAG3), degenerate; expression site-associated gene 3 (ESAG3), degenerate; expression site-associated gene 3 (ESAG3), truncated; expression site-associated gene (ESAG, pseudogene), putative; expression site-associated gene 3 (ESAG3), pseudogene; variant surface glycoprotein (VSG, pseudogene), putative; expression site-associated gene 3 (ESAG3), frameshifted and degenerate; expression site-associated gene 3 (ESAG3), degenerate and frameshifted; expression site-associated gene 3 (ESAG3), frameshifted and degenerate; expression site-associated gene 3 (ESAG3), degenerate; expression site-associated gene 3 (ESAG3), pseudogene; expression site-associated gene 3 (ESAG3), degenerate; expression site-associated gene 3 (ESAG3), degenerate and frameshifted",-0.42811702611268126,-0.5522667626736922,-0.1342831954195655,-0.3715556614019797,0.04001783842214853,-2.998075858538613,1.3977463736379985,1.0
