Gene_id,E1,C1,E2,C2,mean_E,mean_C,log10Sum,log2FC,desc,Log10signal_Q,t,prob,-log10pvalue
Tb04.24M18.150,178.2065044576617,109590.1915400763,97187.11891949306,12581.279125040886,48682.66271197536,61085.735332558594,5.341507321840774,-0.3274274441409417,"hypothetical protein, conserved",20,-0.18081424766502793,0.8731773953766486,0.058897515736898526
Tb927.5.4460,80058026.4519771,43292107.4351858,53363956.818364866,69986177.068798,66710991.63517098,56639142.2519919,8.39216962088353,0.23612506932424987,"major vault protein, putative",48,0.5335921495437973,0.6469852235842912,0.18910563801613148
Tb927.5.4500,765743.599595495,46622743.39225089,33247330.801112562,14141156.190733828,17006537.20035403,30381949.791492358,7.976702838535533,-0.8371250437817876,"ras-like small GTPase, putative",47,-0.5823511570222845,0.6192345829638448,0.20814479720410023
Tb927.5.4520,4276091.709411128,1475890.3719223442,2300160.5603412157,3451821.520992257,3288126.134876172,2463855.946457301,7.060847520119802,0.416347734026434,Kinetochore interacting protein 1,41,0.5899467094642928,0.6150003772732541,0.21112461780565292
Tb927.5.4560,2716879.1701957104,1849081.6388306823,3048731.976833999,1517228.8321923935,2882805.5735148545,1683155.2355115379,6.960562175157965,0.7763052987743306,"guanine deaminase, putative",40,5.112392434754869,0.03619602820383473,1.441339082057794
Tb927.5.4580,13403.57029268484,5030.159645142231,11777.060546050257,6656.669391776816,12590.31541936755,5843.414518459524,4.566643216261143,1.1074308871715643,Flagellum adhesion protein 3,2,5.866278254891401,0.027850374695377635,1.5551689575085563
Tb927.5.4380,2132527.377711761,5330839.034407801,3360542.068486005,4102824.3436335567,2746534.723098883,4716831.689020678,7.173964759387461,-0.7802055907535358,"kinetoplastid-specific phospho-protein phosphatase, putative",42,-2.269045079055502,0.1513401201395059,0.8200459256089448
Tb927.5.4410,4907.710634479278,2006529.8715448114,395324.6925494033,1616112.8896298872,200116.2015919413,1811321.3805873492,6.604536555993733,-3.178132665652399,"hypothetical protein, conserved",36,-5.836293812643642,0.028125286112375112,1.550903050875472
Tb927.5.4420,2903306.2087739836,9010226.552133802,8636618.021286244,3276914.739621542,5769962.115030114,6143570.645877672,7.377070559083464,-0.09051554801276512,"nucleolar RNA helicase II, putative",44,-0.09215655255132255,0.934973395477578,0.029200746733542594
Tb927.5.4430,2408.4572096615566,432643.17936632107,434083.7092198746,967.9273561079681,218246.08321476806,216805.55336121452,5.939570802386695,0.009554051503254278,"calcium/calmodulin-dependent protein kinase, putative",28,0.004719327425910778,0.9966629501551835,0.0014516858568767276
Tb927.7.2140,14240341.999253558,43929690.794206075,29579374.528652187,28590658.264807444,21909858.263952874,36260174.52950676,8.065729304296706,-0.7268057176727115,"zinc finger protein family member, putative",47,-1.3230568387017545,0.3168200536737338,0.4991873367914876
Tb08.27P2.160,302561.6843508783,7416884.703235501,5674369.791715978,2045076.5958704029,2988465.738033428,4730980.6495529525,7.188616150994849,-0.6627342572718639,"expression site-associated gene 3 (ESAG3), degenerate",43,-0.4587446482180862,0.6914461343318067,0.16024164704223398
Tb927.9.15660,13223.456906655854,1249.4612598015783,9398.90039920003,5074.017767257404,11311.178652927942,3161.739513529491,4.461586102167556,1.838958851289333,procyclic-enriched flagellar receptor adenylate cyclase 6,1,3.013433671120764,0.09473355769360055,1.0234961525746158
Tb927.9.15850,35573.14944650666,30548.39086794446,65954.95606850993,166.58424594118878,50764.052757508296,15357.487556942826,5.1213729576576865,1.7248650372101206,hypothetical protein,14,1.648106227739045,0.24109642122633293,0.6178092361310114
Tb09.v4.0067,3950.568607218066,1203020.6407510252,420482.86956365,786488.3397945932,212216.71908543402,994754.4902728092,6.382726906386043,-2.228802185508138,"retrotransposon hot spot protein, pseudogene",33,-2.6568780537338323,0.11726272072786309,0.9308400335403576
Tb927.10.4430,593087.8784859318,25311502.654483482,13748111.953103825,12156478.579865592,7170599.915794878,18733990.617174536,7.7144067275630395,-1.385492518040139,pumillo RNA binding protein PUF1,46,-1.2431071098123434,0.3397914889164346,0.46878750352147486
