[Input ID],Gene_desc,unique,Score,Ratio H/L normalized,Intensity,logInt,logRatio,logScore,[SignalP Peptide],[# TM Domains],Log2 H/L,Log10 (Int H*L),Group,Glycosome status 
Tb927.11.9400,"hypothetical protein, conserved",4,4.7487,21.27,1061800,6.026042721005139,4.410748128185948,0.6765747338144927,0,0.0,0.677495944,14.76642765,i,red
Tb927.5.1210,"short-chain dehydrogenase, putative",6,102.88,13.600999999999999,47788000,7.67931885502091,3.7656408229808616,2.012330955580147,1,2.0,3.368122736,18.1945978,iii,green
Tb927.11.12080,N-acetyl-D-glucosaminylphosphatidylinositol de-N-acetylase,2,29.804000000000002,13.297,3156700,6.499233310262374,3.733028883972776,1.474274554725548,0,0.0,,,,
Tb927.11.6210,Lanosterol 14-alpha demethylase,4,4.3205,12.725,4638000,6.666330744301969,3.6695937511883328,0.6355340094712848,1,0.0,0.312071195,15.68263505,i,red
Tb927.10.4040,3-keto-dihydrosphingosine reductase,4,6.321000000000001,9.7405,1800500,6.255393125707304,3.2839958307271244,0.8007857903277626,1,1.0,1.8662147390000001,14.16557229,ii,red
Tb927.9.9630,"TPR repeat/Tetratricopeptide repeat, putative",4,24.041,9.2534,7914000,6.898396045930009,3.2099835561014283,1.3809525284492297,0,3.0,1.556573961,15.59504365,ii,red
Tb927.9.9710,"Histidine phosphatase superfamily (branch 1), putative",2,8.4013,7.6671,1294200,6.112001395486189,2.9386809966641954,0.924346493102718,1,1.0,0.853918172,13.61307494,i,red
Tb927.6.4210,"aldehyde dehydrogenase, putative",3,24.553,6.947,2972300,6.473092641484642,2.7963900973310145,1.3901045638254346,1,0.0,0.9155455720000001,15.76558577,ii,gray
Tb11.02.5420b,"NADPH-cytochrome p450 reductase, putative",4,4.1572,6.144,730470,5.863602384401736,2.619178216059069,0.618800918614222,1,1.0,,,,
Tb927.10.7100,delta-4 fatty acid desaturase,2,3.0426,5.8973,1287800,6.109848420756105,2.5600545869872726,0.48324486093151686,0,3.0,1.4115177909999999,13.40658834,ii,gray
Tb927.11.12500,"hypothetical protein, conserved",2,8.0649,4.3203,408540,5.611234584561987,2.111131496065801,0.9065989867631156,1,2.0,1.0950302509999998,13.17507624,ii,white
Tb927.9.2050,"membrane protein YIP1, putative",2,7.4043,4.2642,1146900,6.05952555273869,2.092275105133094,0.8694840067455193,0,4.0,0.481846038,12.55051963,i,red
Tb927.10.14510,"root hair defective 3 GTP-binding protein (RHD3), putative",3,30.982,4.0855,1060800,6.025633511060698,2.030512652025287,1.491109449605496,0,1.0,1.209199004,14.10830677,ii,green
